Date,Actual,LGBM_Pred,LGBM_Lower_90,LGBM_Upper_90
2025-05-24 14:00:00,13750.0,13817.01970696286,13487.187568002219,14049.754573809922
2025-05-24 15:00:00,13625.0,13652.74039837328,13260.20501988959,13865.277423713831
2025-05-24 16:00:00,13210.0,13393.661790500575,13066.56524470637,13614.783389583534
2025-05-24 17:00:00,12910.0,13038.66948204277,12749.048004936329,13312.061905709834
2025-05-24 18:00:00,14842.5,14499.065623815863,13705.71770514379,14811.387638693912
2025-05-24 19:00:00,15300.0,14995.226670729322,14571.444779368148,15238.818404408301
2025-05-24 20:00:00,15400.0,15296.461696392966,14934.984306631326,15535.129030040449
2025-05-24 21:00:00,15275.0,15084.961652645366,14894.52012046992,15305.392608255983
2025-05-24 22:00:00,15210.0,15128.873159591387,14900.292007187152,15343.27730566922
2025-05-24 23:00:00,14950.0,15103.047324290023,14867.757066169112,15310.605786291142
2025-05-25 00:00:00,14690.0,14561.692262628194,14392.066099507803,14872.914912874425
2025-05-25 01:00:00,14170.0,14233.147676424962,14068.08500747535,14427.43982907001
2025-05-25 02:00:00,13920.0,13834.234873452258,13679.31249592674,14135.495669234126
2025-05-25 03:00:00,13650.0,13700.68149169674,13495.08067689471,13905.792451143352
2025-05-25 04:00:00,13400.0,13402.109446491413,13140.066263776213,13658.160420094768
2025-05-25 05:00:00,12840.0,12924.301059361977,12664.478071615133,13262.587809917391
2025-05-25 06:00:00,12967.0,12799.309155044632,12490.152573471845,12928.707322430235
2025-05-25 07:00:00,12940.0,12951.492004761243,12668.449845734265,13166.357112093754
2025-05-25 08:00:00,13510.0,13158.299053399656,12770.890688744694,13333.4092398667
2025-05-25 09:00:00,13640.0,13754.120893239813,13351.630210875705,13957.680944507543
2025-05-25 10:00:00,13870.0,13965.735701675554,13681.95445747654,14196.364504503035
2025-05-25 11:00:00,14310.0,14186.382013330567,13823.31075153807,14392.100238667108
2025-05-25 12:00:00,14480.0,14488.764066344886,14206.260457131815,14771.141541765177
2025-05-25 13:00:00,14260.0,14566.588818945547,14284.104698127112,14828.216132946962
2025-05-25 14:00:00,14280.0,14459.202000810135,14134.787874545435,14718.05713390705
2025-05-25 15:00:00,13880.0,14251.089296377031,14029.082504967817,14471.62886227215
2025-05-25 16:00:00,13760.0,13670.562200200526,13234.71064732464,13877.928761319437
2025-05-25 17:00:00,13400.0,13560.500926747063,13171.504862860966,13822.268750384317
2025-05-25 18:00:00,15225.0,14904.259539885243,13972.010550537932,15607.860793303624
2025-05-25 19:00:00,15120.0,15470.292683596885,15009.803722467823,15749.798222333235
2025-05-25 20:00:00,15235.0,15257.431699781271,14804.688001548277,15535.699669593992
2025-05-25 21:00:00,15060.0,15257.975567048405,14991.264914079293,15415.63067364944
2025-05-25 22:00:00,15200.0,15030.594621530116,14758.380187939696,15233.181504195407
2025-05-25 23:00:00,15200.0,15162.78460480162,14929.306245639527,15354.28614711556
2025-05-26 00:00:00,14800.0,14890.141542794707,14771.433032987581,15120.25493393818
2025-05-26 01:00:00,14300.0,14510.789503983975,14282.8390734035,14708.578984347578
2025-05-26 02:00:00,14000.0,14089.838880869926,13836.567138932161,14372.405149042123
2025-05-26 03:00:00,13650.0,13704.551082606284,13486.142493575386,13900.01766127644
2025-05-26 04:00:00,13420.0,13420.118545054856,13177.711910060769,13678.85518565645
2025-05-26 05:00:00,12820.0,13024.623193241425,12795.308058125522,13252.710833367786
2025-05-26 06:00:00,12850.0,12697.32935792935,12291.442935359219,12909.382337027733
2025-05-26 07:00:00,12750.0,12979.43461892001,12651.8984181422,13132.845727774276
2025-05-26 08:00:00,12950.0,13004.561362826988,12585.504358866794,13170.501505958866
2025-05-26 09:00:00,13200.0,13245.128780724304,12809.812494650441,13504.371467330282
2025-05-26 10:00:00,13700.0,13494.004567787324,13180.417252688916,13774.883019619172
2025-05-26 11:00:00,14080.0,14031.469880686851,13720.096022822183,14264.598603874016
2025-05-26 12:00:00,14260.0,14300.674882653644,14001.792097728445,14506.123878216793
2025-05-26 13:00:00,14200.0,14441.141534669587,14131.721032451123,14660.286716587221
2025-05-26 14:00:00,13970.0,14333.277455143598,14028.108005246355,14560.197175586965
2025-05-26 15:00:00,13680.0,13860.90643035998,13582.944309924944,14114.845350846663
2025-05-26 16:00:00,13510.0,13466.521408176537,13134.83950843057,13694.575577705624
2025-05-26 17:00:00,13100.0,13373.953213233483,13022.43292069017,13626.740271269211
2025-05-26 18:00:00,14880.0,14801.855433060691,13943.80318807807,15297.531921145664
2025-05-26 19:00:00,15050.0,15064.33470521584,14554.775044385455,15287.187237923008
2025-05-26 20:00:00,15130.0,15241.988966911347,14821.904857448804,15493.824875825825
2025-05-26 21:00:00,14670.0,15033.789743504389,14740.017641776822,15256.662530055526
2025-05-26 22:00:00,14550.0,14624.295691957985,14348.31603583803,14850.263399591666
2025-05-26 23:00:00,14400.0,14381.348482641703,14080.245000995596,14632.77472564447
2025-05-27 00:00:00,14000.0,13966.170909187618,13711.604337596842,14244.798966696444
2025-05-27 01:00:00,13700.0,13674.022630490206,13431.202739280703,13868.132277288632
2025-05-27 02:00:00,13300.0,13430.404957780096,13172.096731626538,13734.883893192098
2025-05-27 03:00:00,13150.0,13036.930575992346,12840.914102012724,13275.221729454544
2025-05-27 04:00:00,12940.0,12913.933224051872,12706.630903417503,13137.022216358224
2025-05-27 05:00:00,12550.0,12501.442002090733,12208.124324315795,12739.038015636888
2025-05-27 06:00:00,12520.0,12449.136455529278,12055.931793314801,12759.388002668291
2025-05-27 07:00:00,12540.0,12611.840906309997,12246.595397991612,12821.094548692598
2025-05-27 08:00:00,12885.0,12821.74600378558,12384.855829985958,13103.512372176681
2025-05-27 09:00:00,13310.0,13199.582816294847,12757.583947566127,13383.119220955832
2025-05-27 10:00:00,13650.0,13650.511273839635,13389.760048386965,13945.811086519554
2025-05-27 11:00:00,14230.0,14007.54050926886,13717.220877646587,14242.00151892701
2025-05-27 12:00:00,14560.0,14391.282997069562,14084.647029087484,14639.818111998737
2025-05-27 13:00:00,14760.0,14660.235061060961,14408.5380499355,14865.967323348144
2025-05-27 14:00:00,14970.0,14836.401372148368,14542.623204665628,15025.765987348614
2025-05-27 15:00:00,14920.0,14756.52561078513,14636.627429075905,15044.157830793576
2025-05-27 16:00:00,14720.0,14603.942091748379,14530.577929602037,14913.11295610329
2025-05-27 17:00:00,14120.0,14193.511296668707,14053.397935491392,14557.186336730641
2025-05-27 18:00:00,15710.0,15192.764553108555,14250.153040328063,15788.091432354708
2025-05-27 19:00:00,16120.0,15641.410076705666,15014.028281072635,15779.364282280965
2025-05-27 20:00:00,16321.5,15941.644859800745,15099.980493114399,16209.243708873937
2025-05-27 21:00:00,16321.5,15849.553297832523,15057.935796066859,16192.233671544549
2025-05-27 22:00:00,16300.0,15824.475735592301,15048.16654916709,16164.379652813348
2025-05-27 23:00:00,16290.0,15686.51676570975,15041.15061346934,16039.536367772496
2025-05-28 00:00:00,16000.0,15409.683262534701,14974.390157181402,15766.053111450648
2025-05-28 01:00:00,15360.0,15326.17326833924,14822.752319993431,15792.619032236109
2025-05-28 02:00:00,15020.0,14759.0542627524,14564.810664239314,15114.606286954076
2025-05-28 03:00:00,14680.0,14610.109732233554,14475.136643665355,14888.555757018203
2025-05-28 04:00:00,14400.0,14173.37020642964,14120.266140992466,14452.812790726772
